ID	Title	URL	Milestone (NASA)	Assignees	Status	Priority	Category	xTeam	Type	Repository	Linked pull requests	Task Readiness
P0	Planning		Mx		Backlog		Project		Sink			Ok - Planned
P1	User feedback survey		Mx		Backlog		Project	SI/GMAO	Sink			Ok - Planned
P2	Milestone feedback		Mx		Backlog		Project	SI/GMAO	Sink			Ok - Planned
MW0	Pace split	https://github.com/GEOS-ESM/pace/issues/41	M1	FlorianDeconinck	Done	P0	Middleware	NOAA	Task	GEOS-ESM/pace		Ok - Planned
MW1	Versioned release		M1		Backlog	P1	Middleware	NOAA	Task			Ok - Planned
MW2	MPP/FMS API				Backlog		Middleware	NOAA	Parent			Ok - Unplanned
MW2.1	Non-square layout		M1		Backlog	P2	Middleware	NOAA	Subtask			Ok - Planned
MW2.2	All grid capacities				Backlog		Middleware	NOAA	Subtask			To Subtasks
MW3	CPU optimization		M2		Backlog		Middleware		Parent			To Subtasks
MW3.1	Partial expansion		M2		Backlog		Middleware	LLNL	Subtask			Investigate
MW3.2	Zero-copy on CPU from Fortran align		M2		Backlog		Middleware		Subtask			Ok - Planned
MW4	Backend compilation refactor				Backlog		Middleware		Parent			To Subtasks
MW4.1	Extend cube-sphere naming to stencil backends				Backlog		Middleware		Subtask			Ok - Unplanned
MW4.2	Distributed compilation on many nodes				Backlog		Middleware		Subtask			Ok - Unplanned
MW4.3	Better key-ing for the cube-sphere cache				Backlog		Middleware		Subtask			Ok - Unplanned
MW4.4	Metadata extension				Backlog		Middleware		Subtask			Ok - Unplanned
MW5	GT4Py.cartesian: global fields				Backlog		Middleware		Task			Ok - Unplanned
MW6	GT4Py.cartesian: K indirect write				Backlog		Middleware		Task			Ok - Unplanned
MW7	GT4Py.cartesian: return/end of loop				Backlog		Middleware		Task			Ok - Unplanned
MW8	Fortran <> Python interface generator				Backlog		Middleware		Task			To Subtasks
MW8.1	Translate-test-like architecture for timestep level testing				Backlog		Middleware		Subtask			Ok - Unplanned
MW8.2	Scientifc fortran-python difference testing				Backlog		Middleware		Subtask			Ok - Unplanned
MW9	DaCe opt: kernel merge investigation				Backlog		Middleware		Parent			To Subtasks
MW9.1	DaCe opt: corners (dace.map and/or stree merge)				Backlog		Middleware	LLNL	Subtask			Ok - Unplanned
MW10	DaCe opt: auto-tuning				Backlog		Middleware		Parent			Ok - Unplanned
